Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.8371061128831987,0.8668874199442155,0.6387466468112813
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.6244832110279432,0.6823054907309096,0.4169397445150765
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.7104950349685432,0.7650083628957577,-0.7812346970187463
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.767959842234464,0.7239373122186813,0.7925320117062137
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.43673485511379073,0.4737796267072657,0.7406909018489914
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.7890761149298523,0.733149564962789,0.6626754877910621
US-Mpj,Prior,GPP,0.5462382369988197,0.5949246368224748,0.4404444719308003
US-Mpj,Post,GPP,0.7594963057749434,0.7870939687252564,0.5726753370788527
US-Mpj,Prior,NEE,0.17337876251052717,0.19078315246420358,-0.09979598350575265
US-Mpj,Post,NEE,0.1585101201144813,0.16669853240997634,0.014724280282935915
US-Mpj,Prior,Reco,0.6454153431148181,0.6776949075765534,0.13531378203495123
US-Mpj,Post,Reco,0.8386585530728248,0.8641344943617236,0.66648665480004
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.8794701425727856,0.8992292177413233,-0.15718609435393618
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.7580589665729324,0.7725867059461321,0.2861452193611206
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.9236477720327397,0.9516731895354515,0.8875684238521611
US-Wjs,Prior,GPP,0.6372577174515165,0.6475930101728744,0.4871951422975449
US-Wjs,Post,GPP,0.9137699416388796,0.9297262103504024,0.8900153516628903
US-Wjs,Prior,NEE,0.26956213458846273,0.27419373990459844,0.3753261058835545
US-Wjs,Post,NEE,0.3232457221459612,0.30019986160209855,0.03809536148565686
US-Wjs,Prior,Reco,0.7277241407516577,0.7413554607636067,0.17621462948012223
US-Wjs,Post,Reco,0.9152234764161249,0.9328452675265516,0.8062117774903937
US-Ses,Prior,GPP,0.7243033924249498,0.7696625612150609,0.7465197185874406
US-Ses,Post,GPP,0.8238093395103103,0.8571881875851012,0.8754893217914421
US-Ses,Prior,NEE,0.35946882370283056,0.3990053064342745,0.3639293477507427
US-Ses,Post,NEE,0.43976070705542963,0.452427985070354,0.7409629132226405
US-Ses,Prior,Reco,0.646397375015299,0.7119259111214089,0.6030251984412306
US-Ses,Post,Reco,0.7427210711327915,0.8006478416491756,0.5343621481138715
US-Wkg,Prior,GPP,-0.061892021219923814,-0.08014995571746697,-0.493335576759026
US-Wkg,Post,GPP,-0.06535511704112802,-0.0823127394425269,-0.41868634455381465
US-Wkg,Prior,NEE,-0.01593220041518987,-0.03433468940200713,-0.4231390279212351
US-Wkg,Post,NEE,-0.11527254236613188,-0.1404256351784526,-0.2971358937307934
US-Wkg,Prior,Reco,0.30386538493417997,0.32654573772961387,-0.31373245982737574
US-Wkg,Post,Reco,0.5214630365987709,0.5557263610786816,-0.18234200432309788
US-SRG,Prior,GPP,0.45757558219525823,0.4805818206577757,0.46246048926428285
US-SRG,Post,GPP,0.7792815745487521,0.8025642455385685,0.7558178424684939
US-SRG,Prior,NEE,0.4577105631554123,0.520873316916084,0.9232508479455336
US-SRG,Post,NEE,0.5418190235010212,0.557189165889095,0.5336420877893148
US-SRG,Prior,Reco,0.6073688682354853,0.6358194463537915,-0.299767751514728
US-SRG,Post,Reco,0.9011510912619569,0.9251032676877955,0.8136853119606241
US-SRM,Prior,GPP,0.25221431936901073,0.2663517975968248,0.23388171832631865
US-SRM,Post,GPP,0.6965743435543847,0.7242870380642786,0.5518927774106547
US-SRM,Prior,NEE,0.25700100310177476,0.270695111491118,0.49188905228935276
US-SRM,Post,NEE,0.25532412391552584,0.2236603309054788,0.08327344991160543
US-SRM,Prior,Reco,0.5362362419269503,0.5649878030151753,-0.2702923406801224
US-SRM,Post,Reco,0.8823587391805798,0.8992087635422845,0.002563032593700183
US-Whs,Prior,GPP,0.2597975972607187,0.2709419473604357,-0.2030186081004438
US-Whs,Post,GPP,0.423165099444092,0.4459934957550712,-0.28329786787305267
US-Whs,Prior,NEE,0.17940038915147366,0.16275692617154383,-0.49069263304875577
US-Whs,Post,NEE,0.2583688909069016,0.25024890996369686,-0.5931819563644654
US-Whs,Prior,Reco,0.4861967536149699,0.523410302700566,0.1731168996525107
US-Whs,Post,Reco,0.681101142388472,0.7308755180651583,0.28846732965526134
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.6961692649783443,0.7183238618826776,0.3952815044784249
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.4999226285148491,0.5385729210664817,0.7170977614894795
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.70209664347111,0.7189086428042136,0.031403868851894064
US-Aud,Prior,GPP,0.6507589041935504,0.6806738569602222,0.0801064006304548
US-Aud,Post,GPP,0.8457492306852871,0.8603063160563217,0.5237351323680041
US-Aud,Prior,NEE,0.5671458258903407,0.5949211565262275,0.6278379036300277
US-Aud,Post,NEE,0.8010859342813044,0.8166563162963126,0.6768589172572608
