Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.9149159642787722,0.9257859853080865,0.8384280831499945
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.8646230302861337,0.8840956992880485,0.6484626916784401
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.5796644148102259,0.6392269323933081,-0.16664292499042357
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.8286005530516536,0.7714160562214617,0.762045000440327
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.7726720211566449,0.7951939465327739,0.906404162677737
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.682395281615007,0.6241823750132404,0.5528507375314631
US-Mpj,Prior,GPP,0.546362243357371,0.594962202965232,0.4394980462962331
US-Mpj,Post,GPP,0.7121183368161241,0.7433031144351251,0.6876639571060242
US-Mpj,Prior,NEE,0.17345981428554932,0.19095537147332556,-0.10204810161389641
US-Mpj,Post,NEE,0.6833804913931405,0.7085009556829776,0.24784851080949968
US-Mpj,Prior,Reco,0.6455696609789654,0.6778280470430011,0.13569573550443692
US-Mpj,Post,Reco,0.6440252862480766,0.6795593402659552,0.5809167012684183
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.8877865185403592,0.9050546496051294,-0.2801917154959458
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.8918453118539343,0.917334164176223,0.676055919553322
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.8414379333938647,0.8737872568017649,-0.4861364096133624
US-Wjs,Prior,GPP,0.6370953140945816,0.6473507818045531,0.48667106454956516
US-Wjs,Post,GPP,0.8295813547580274,0.8482962387355142,0.8836752179575291
US-Wjs,Prior,NEE,0.27072286132706824,0.27504949748509494,0.37598403067551855
US-Wjs,Post,NEE,0.6425344275739227,0.6679761624672211,0.5015879249749694
US-Wjs,Prior,Reco,0.7274915340686109,0.7411889498825092,0.17548030057199568
US-Wjs,Post,Reco,0.8648297064372915,0.8813599782321843,0.5854965043103755
US-Ses,Prior,GPP,0.7229444365539311,0.7685246851659213,0.7541094103493369
US-Ses,Post,GPP,0.7943558962518303,0.8286730090671401,0.6744313976014166
US-Ses,Prior,NEE,0.3537306331352673,0.39410878452115633,0.3643943203203502
US-Ses,Post,NEE,0.7295847733771493,0.7919060299398185,0.8467993064750892
US-Ses,Prior,Reco,0.6464203068219849,0.7110047337808557,0.6010252394878515
US-Ses,Post,Reco,0.615856212385494,0.6645013674528444,0.028565540817927355
US-Wkg,Prior,GPP,-0.06189927000219735,-0.08017314815161747,-0.4962350617543206
US-Wkg,Post,GPP,0.6407361127818949,0.6791904965997375,-0.043578223606056156
US-Wkg,Prior,NEE,-0.015900815560734926,-0.03438130056425728,-0.42737313574747376
US-Wkg,Post,NEE,0.4834806215689163,0.5249665594398933,-0.20539003277690274
US-Wkg,Prior,Reco,0.30389626538870573,0.3266388269016932,-0.31099881995549883
US-Wkg,Post,Reco,0.6820335863109152,0.7198057816661064,0.10912934958994318
US-SRG,Prior,GPP,0.46013308392871355,0.48374699012570016,0.46804914721796903
US-SRG,Post,GPP,0.8043386557636114,0.8239957635275393,0.78326028812191
US-SRG,Prior,NEE,0.459477235266902,0.5227122654510626,0.921797745069495
US-SRG,Post,NEE,0.7599989080477292,0.7792884218055557,0.9131717569109415
US-SRG,Prior,Reco,0.6081398605013147,0.6371588953035904,-0.2990778194270885
US-SRG,Post,Reco,0.7945704468484852,0.8249775610737995,0.28857655590321185
US-SRM,Prior,GPP,0.2702619312886518,0.28508993949058303,0.23907107044218043
US-SRM,Post,GPP,0.8910691570805884,0.9072883912805253,0.7285058587103941
US-SRM,Prior,NEE,0.27462688575918426,0.2897841335093353,0.5071230492155119
US-SRM,Post,NEE,0.7733040632643599,0.8137301162895899,0.42414927525497154
US-SRM,Prior,Reco,0.541738004579715,0.5713822359036523,-0.28579199471943206
US-SRM,Post,Reco,0.7895720651678444,0.8135519410626345,-0.15854754260772294
US-Whs,Prior,GPP,0.41573264456099274,0.42839012830472145,0.4301608956962397
US-Whs,Post,GPP,0.7332476344033316,0.7540978897985743,0.8124550591729554
US-Whs,Prior,NEE,0.3321427596146862,0.34377007807492005,0.5714194281161177
US-Whs,Post,NEE,0.6359846451842105,0.6827902145223783,0.7558889058239467
US-Whs,Prior,Reco,0.6162370058581068,0.6426959966917141,0.2009741012601173
US-Whs,Post,Reco,0.6585379069285381,0.6932713419074986,0.7952157095777393
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.7361317774034729,0.7500169428815884,0.3348406357302182
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.6670745289302422,0.689014014184395,0.583948055850005
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.6570913102738013,0.6765558618261058,0.07420446599734007
US-Aud,Prior,GPP,0.6517726470974495,0.6818959369792942,0.08312665135190121
US-Aud,Post,GPP,0.8733421995216172,0.8952654531595565,0.9508130964681011
US-Aud,Prior,NEE,0.5696963450552482,0.5979022899168844,0.6385453719292599
US-Aud,Post,NEE,0.8184584360783452,0.8485656607558768,0.9451141405060037
US-Aud,Prior,Reco,0.6421952392898818,0.6790120657286095,0.4978092183484669
US-Aud,Post,Reco,0.5277654198673075,0.5663789333639405,0.3190556198407138
