Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.8601934519059408,0.8856179137754383,-0.6099296929914525
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.6991547099508276,0.7450320829334353,0.32619940459987007
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.692350668858648,0.7506500692060263,-0.1419895540959787
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.647996591413149,0.6607679407085895,0.7992075516872115
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.3154748061097385,0.3796141620040061,0.8115165400004455
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.7708797847231321,0.7423540171656032,0.6993108077597846
US-Mpj,Prior,GPP,0.5174357177152841,0.5690587153746315,0.570719179451201
US-Mpj,Post,GPP,0.5905430848800185,0.644840532253573,0.685649611171577
US-Mpj,Prior,NEE,0.3367483958359338,0.3790270933727538,0.19867827473449312
US-Mpj,Post,NEE,0.24386544096611623,0.2587385837916861,-0.11057843707481135
US-Mpj,Prior,Reco,0.5951008204617375,0.6267066339273621,0.13115339405791346
US-Mpj,Post,Reco,0.5850617174164984,0.6218532257426033,0.24656419781018896
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.772035374643746,0.8023345887687935,-0.15772210730404773
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.5150195856976141,0.5444424977713265,0.21602364573592192
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.9004012014709653,0.927975557536104,0.490116844617282
US-Wjs,Prior,GPP,0.6946770060553311,0.7091233444527644,0.7112023278358953
US-Wjs,Post,GPP,0.6981587091156971,0.711236980082332,0.7002423292895456
US-Wjs,Prior,NEE,0.3136478483371296,0.3235528373860367,0.4667534887069324
US-Wjs,Post,NEE,0.30942302503780966,0.3211808509491744,0.5444671923953648
US-Wjs,Prior,Reco,0.7791737695107922,0.7937801670277421,0.3876680374737275
US-Wjs,Post,Reco,0.8148779016370352,0.8298215379729259,0.3958786622679802
US-Ses,Prior,GPP,0.7344498377279777,0.7821318271122252,0.7481824345462864
US-Ses,Post,GPP,0.7357002701295245,0.783190156809878,0.7590025931684429
US-Ses,Prior,NEE,0.39294846673029077,0.4352524452439011,0.3910472548068753
US-Ses,Post,NEE,0.4152326990416971,0.4518453096555557,0.3411651701605429
US-Ses,Prior,Reco,0.6547572499719472,0.7238775408233258,0.656852120884964
US-Ses,Post,Reco,0.7081841359131337,0.774148125867239,0.6618570061852871
US-Wkg,Prior,GPP,-0.061892021219923814,-0.08014995571746697,-0.493335576759026
US-Wkg,Post,GPP,-0.060839032312163,-0.0773294601176576,-0.4324990799664985
US-Wkg,Prior,NEE,-0.01593220041518987,-0.03433468940200713,-0.4231390279212351
US-Wkg,Post,NEE,-0.09925555120238445,-0.12341012021236848,-0.2746268467348919
US-Wkg,Prior,Reco,0.30386538493417997,0.32654573772961387,-0.31373245982737574
US-Wkg,Post,Reco,0.5067373429005582,0.5394715368285418,-0.27389366441720425
US-SRG,Prior,GPP,0.39349511698806766,0.41012476454809227,0.40586964467578285
US-SRG,Post,GPP,0.4215925151632054,0.43639554648994056,0.5082136611087482
